Unique MASCOT (mz),Difference (mz)
657.8271,0.0010321895
657.8271,0.0010210105
657.8271,0.00099632157
657.8271,0.00099374218
657.8271,0.00099066526
657.8271,0.00098090264
657.8271,0.00096589125
657.8271,0.00094413705
657.8271,0.00093295094
657.8271,0.00092274211
657.8271,0.00091078132
657.8271,0.00083842191
657.8271,0.0008272906
657.8271,0.00081275905
657.8271,0.00080072065
657.8271,0.00078952384
657.8271,0.00070295307
657.8271,0.00069301263
657.8271,0.00068313649
657.8271,0.00065421765
657.8271,0.00064349767
657.8271,0.00063664023
657.8271,0.00054232869
657.8271,0.00053171347
657.8271,0.00052659663
657.8271,0.00050707021
657.8271,0.00049797193
657.8271,0.00049138732
657.8271,0.00048316565
657.8271,0.00046646859
657.8271,0.00037721912
657.8271,0.0003446833
657.8271,0.00029386597
657.8271,0.00028049951
657.8271,0.00027884865
657.8271,0.00027449446
657.8271,0.0002734127
657.8271,0.00024415392
657.8271,0.00022576551
657.8271,0.00021934451
657.8271,0.0001950928
657.8271,0.00015201346
657.8271,0.00011887698
657.8271,0.00010423591
657.8271,9.0519311e-05
657.8271,6.3286209e-05
657.8271,4.2758962e-05
657.8271,2.303054e-05
657.8271,1.5908141e-05
657.8271,2.025898e-06
657.8271,-1.20325e-05
657.8271,-5.3046206e-05
657.8271,-6.4218916e-05
657.8271,-7.0017352e-05
657.8271,-7.6228158e-05
657.8271,-0.0001198656
657.8271,-0.00013039881
657.8271,-0.00013419055
657.8271,-0.0001366432
657.8271,-0.000143955
657.8271,-0.00019909639
657.8271,-0.00021736003
657.8271,-0.00023276721
657.8271,-0.00027978585
657.8271,-0.00028923184
657.8271,-0.00031395204
657.8271,-0.00031971945
657.8271,-0.00032869824
657.8271,-0.00033748864
657.8271,-0.00035810355
657.8271,-0.00037975797
657.8271,-0.00038522845
657.8271,-0.00038577109
657.8271,-0.00040307669
657.8271,-0.00044253523
657.8271,-0.00045617862
657.8271,-0.00045864505
657.8271,-0.00046148079
657.8271,-0.00046738209
657.8271,-0.00051648201
657.8271,-0.00054182328
657.8271,-0.00054252306
657.8271,-0.00059760919
657.8271,-0.00059895355
657.8271,-0.00064861451
657.8271,-0.00064977487
657.8271,-0.00065461016
657.8271,-0.00067437024
657.8271,-0.00068317253
657.8271,-0.00069274519
657.8271,-0.00071012636
657.8271,-0.00071999096
657.8271,-0.00073603648
657.8271,-0.00073712096
657.8271,-0.00075782502
657.8271,-0.00076956948
657.8271,-0.0007705615
657.8271,-0.00078211063
657.8271,-0.00083613405
657.8271,-0.00084197625
657.8271,-0.00085956034
657.8271,-0.00086450883
657.8271,-0.00086625854
657.8271,-0.00087726427
657.8271,-0.00090908049
657.8271,-0.00091145499
657.8271,-0.00091428886
657.8271,-0.00093899709
657.8271,-0.00094176322
657.8271,-0.00094659663
657.8271,-0.00096801177
657.8271,-0.00098638948
657.8271,-0.00100033
657.8271,-0.0010017222
657.8271,-0.0010181737
657.8271,-0.0010222269
657.8271,-0.0010307972
657.8271,-0.0010434516
657.8271,-0.0010506035
657.8271,-0.0010585117
657.8271,-0.0010585151
657.8271,-0.0011268375
657.8271,-0.0011454273
657.8271,-0.0011925687
657.8271,-0.001223099
657.8271,-0.0012415767
657.8271,-0.0012891271
657.8271,-0.0013465608
657.8271,-0.0013539103
657.8271,-0.0013587242
657.8271,-0.0013725819
657.8271,-0.0013852472
657.8271,-0.0013901708
657.8271,-0.0015115001
657.8271,-0.0015239966
657.8271,-0.001570971
657.8271,-0.0015853914
657.8271,-0.0015927181
657.8271,-0.0016216676
657.8271,-0.0016308135
657.8271,-0.001639641
657.8271,-0.001642914
657.8271,-0.0016769958
657.8271,-0.0016815191
657.8271,-0.001683622
657.8271,-0.0017032586
657.8271,-0.0017228436
