Unique MASCOT RT (mins),Difference RT (mins)
4.5667,-0.0084167
4.5667,0.0083167
4.5667,0.0062167
4.5667,-0.0021333
4.5667,0.0041333
5.484,0.0017667
5.484,0.0080333
5.484,-0.00031667
5.484,-0.0086833
5.484,-0.0045
5.484,-0.0066
5.484,0.00595
5.484,-0.0024167
5.484,0.00385
5.495,-0.00615
5.495,0.0022167
5.495,0.0064
5.495,0.0043
5.495,-0.0082333
5.495,0.00013333
5.495,0.0084833
5.495,-0.00405
5.495,-0.0019667
4.6417,0.0060167
4.6417,0.0039167
4.6417,0.0018333
4.6417,-0.0044333
4.6417,0.0081
4.6417,-0.00235
4.6417,-0.00026667
4.6417,-0.0065333
4.6417,-0.0086167
4.6516,0.0055
4.6516,0.0075833
4.6516,0.0096667
4.6516,0.0034
4.6516,-0.00078333
4.6516,-0.00705
4.6516,-0.0028667
4.6516,0.0013167
4.6516,-0.0049667
4.6516,-0.0091333
4.7495,0.0072167
4.7495,0.0093
4.7495,0.0051167
4.7495,0.0030333
4.7495,0.00093333
4.7495,-0.0074167
4.7495,-0.0032333
4.7495,-0.00115
4.7495,-0.0095167
4.7495,-0.0053333
4.7593,0.0024
4.7593,0.0065833
4.7593,-0.00805
4.7593,0.0086667
4.7593,-0.0017833
4.7593,0.0003
4.7593,0.0044833
4.7593,-0.0038667
4.7593,-0.0059667
4.5915,0.0038667
4.5915,-0.0024
4.5915,-0.00031667
4.5915,0.0017833
4.5915,-0.0045
4.5915,-0.0065833
4.5915,-0.0086667
4.5915,0.00805
4.5915,0.00595
4.5999,0.00605
4.5999,0.0081333
4.5999,-0.0044
4.5999,-0.0023167
4.5999,0.00395
4.5999,0.0018667
4.5999,-0.00021667
4.5999,-0.0085833
4.5999,-0.0065
4.7697,-0.0039333
4.7697,-0.0081167
4.7697,-0.0060333
4.7697,0.00023333
4.7697,-0.00185
4.7697,0.0086
4.7697,0.0023333
4.7697,0.0065167
4.7697,0.0044167
4.7799,1.6667e-05
4.7799,-0.0042
4.7799,-0.0020667
4.7799,0.0063
4.7799,-0.0083833
4.7799,-0.0062833
4.7799,0.0021167
4.7799,0.0042
4.7799,0.0083833
6.9021,0.0088667
6.9021,0.0067833
6.9021,0.0005
6.9021,0.0046833
6.9021,0.0026
6.9021,-0.00785
6.9021,-0.0015833
6.9021,-0.0057667
6.9021,-0.0036667
6.9021,-0.00995
6.9125,-0.0078833
6.9125,0.0025667
6.9125,0.0088333
6.9125,0.00465
6.9125,-0.0099833
6.9125,-0.0037
6.9125,0.00675
6.9125,0.00046667
6.9125,-0.0016167
6.9125,-0.0058
7.0111,-0.0054
7.0111,-0.0033167
7.0111,0.00505
7.0111,0.0071333
7.0111,-0.0012167
7.0111,0.0092333
7.0111,0.00086667
7.0111,-0.0074833
7.0111,0.0029667
7.0252,0.0086667
7.0252,0.0003
7.0252,-0.0059667
7.0252,0.0024
7.0252,0.0065833
4.2448,0.0062167
4.2448,0.0083167
4.2448,-5e-05
4.2448,0.0041333
4.2448,-0.0063167
4.2448,0.0020333
4.2448,-0.0021333
4.2448,-0.0042333
4.2448,-0.0084167
4.255,-0.0065333
4.255,-0.0086333
4.255,0.0039167
4.255,0.0081
4.255,-0.00026667
4.255,-0.00235
4.255,-0.00445
4.255,0.006
4.255,0.0018167
4.3473,-0.0061833
4.3473,-0.0082833
4.3473,-0.0041
4.3473,0.0021667
4.3473,0.0042667
4.3473,0.00635
4.3473,8.3333e-05
4.3473,-0.002
4.3473,0.00845
4.3572,-0.0005
4.3572,-0.0067667
4.3572,-0.0025833
4.3572,0.0036833
4.3572,0.0015833
4.3572,-0.0088667
4.3572,-0.0046833
4.3572,0.0057667
4.3572,0.00995
4.3572,0.0078667
4.4938,0.0086
4.4938,0.0044167
4.4938,0.0065167
4.4938,0.0023333
4.4938,-0.0039333
4.4938,0.00023333
4.4938,-0.00185
4.4938,-0.0081167
4.4938,-0.0060333
4.5055,0.0077667
4.5055,0.0014833
4.5055,-0.0089667
4.5055,0.00985
4.5055,-0.0068667
4.5055,-0.0026833
4.5055,0.0035833
4.5055,0.0056667
4.5055,-0.0006
4.5055,-0.0047833
4.6308,-0.0049167
4.6308,0.0076167
4.6308,0.0055333
4.6308,0.0097
4.6308,-0.0070167
4.6308,-0.0091
4.6308,-0.00075
4.6308,0.0034333
4.6308,-0.0028333
4.6308,0.00135
4.643,0.0073333
4.643,-0.0031167
4.643,-0.0094
4.643,-0.0052167
4.643,0.0052333
4.643,0.00315
4.643,-0.0010333
4.643,0.00105
4.643,0.0094167
4.643,-0.0073
6.5126,-0.0022167
6.5126,-0.0043167
6.5126,-0.0085
6.5126,0.0061333
6.5126,-0.0064
6.5126,0.00195
6.5126,0.0082333
6.5126,-0.00013333
6.5126,0.00405
6.5235,-0.0018
6.5235,0.00865
6.5235,-0.0039
6.5235,-0.0059833
6.5235,0.00655
6.5235,0.0023667
6.5235,0.0044667
6.5235,-0.0080833
